file,color
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,blue
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3701.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5370.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_1116.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_332.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,fuchsia
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7567.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_7201.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_454.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,gray
